!SIL    1.0	sil
<SPN>   1.0	spn
<UNK>   1.0	unk
ఉత్పన్నమవుతోంది	1.0	ఉత్ ప న్న మ వు తోం ది 
ఉత్పాదక	1.0	ఉత్ పా ద క 
ఉత్పాదకత	1.0	ఉత్ పా ద క త 
ఉత్ప్రేరకాలను	1.0	ఉత్ప్ రే ర కా ల ను 
ఉత్సవ	1.0	ఉత్ స వ 
ఉత్సవం	1.0	ఉత్ స వం 
ఉత్సవంలో	1.0	ఉత్ స వం లో 
ఉత్సవాల	1.0	ఉత్ స వా ల 
ఉత్సవాలకు	1.0	ఉత్ స వా ల కు 
ఉత్సవాలంటూ	1.0	ఉత్ స వా లం టూ 
ఉత్సవాలను	1.0	ఉత్ స వా ల ను 
ఉత్సవాలాల్లో	1.0	ఉత్ స వా లా ల్లో 
ఉత్సవాలు	1.0	ఉత్ స వా లు 
ఉత్సవాలో	1.0	ఉత్ స వా లో 
ఉత్సవాల్లో	1.0	ఉత్ స వా ల్లో 
ఉత్సవ్	1.0	ఉత్ సవ్ 
ఉత్సహం	1.0	ఉత్ స హం 
ఉత్సహంగా	1.0	ఉత్ స హం గా 
ఉత్సాహ	1.0	ఉత్ సా హ 
ఉత్సాహం	1.0	ఉత్ సా హం 
ఉత్సాహంగా	1.0	ఉత్ సా హం గా 
ఉత్సాహంతో	1.0	ఉత్ సా హం తో 
ఉత్సాహాన్ని	1.0	ఉత్ సా హా న్ని 
ఉదం	1.0	ఉ దం 
ఉందంట	1.0	ఉం దం ట 
ఉందంటున్నారు	1.0	ఉం దం టు న్నా రు 
ఉందంటూ	1.0	ఉం దం టూ 
ఉందంటే	1.0	ఉం దం టే 
ఉదంతం	1.0	ఉ దం తం 
ఉదంతంతో	1.0	ఉ దం తం తో 
ఉదంతంలో	1.0	ఉ దం తం లో 
ఉందని	1.0	ఉం ద ని 
ఉందనీ	1.0	ఉం ద నీ 
ఉందనుకుంటారని	1.0	ఉం ద ను కుం టా ర ని 
ఉందనుకుంటేనే	1.0	ఉం ద ను కుం టే నే 
ఉందనుకోవడం	1.0	ఉం ద ను కో వ డం 
ఉందనే	1.0	ఉం ద నే 
ఉందనేది	1.0	ఉం ద నే ది 
ఉందన్న	1.0	ఉం ద న్న 
ఉందన్నాయి	1.0	ఉం ద న్నా యి 
ఉందన్నారు	1.0	ఉం ద న్నా రు 
ఉదయం	1.0	ఉ ద యం 
ఉదయానికి	1.0	ఉ ద యా ని కి 
ఉదయించడానికి	1.0	ఉ ద యిం చ డా ని కి 
ఉదయిస్తోంది	1.0	ఉ ద యిస్ తోం ది 
ఉదయిస్తోరది	1.0	ఉ ద యిస్ తో ర ది 
ఉదయ్	1.0	ఉ దయ్ 
ఉదహరించారు	1.0	ఉ ద హ రిం చా రు 
ఉందా	1.0	ఉం దా 
ఉదాసీన	1.0	ఉ దా సీ న 
ఉదాసీనంగా	1.0	ఉ దా సీ నం గా 
ఉదాహరణ	1.0	ఉ దా హ ర ణ 
ఉదాహరణకి	1.0	ఉ దా హ ర ణ కి 
ఉదాహరణలతో	1.0	ఉ దా హ ర ణ ల తో 
ఉదాహరణలుగా	1.0	ఉ దా హ ర ణ లు గా 
ఉంది	1.0	ఉం ది 
ఉదృత	1.0	ఉ దృ త 
ఉందే	1.0	ఉం దే 
ఉదేసం	1.0	ఉ దే సం 
ఉందో	1.0	ఉం దో 
ఉద్ఘాటించారు	1.0	ఉద్ ఘా టిం చా రు 
ఉద్దండ	1.0	ఉ ద్దం డ 
ఉద్దండ్రాయుని	1.0	ఉ ద్దండ్ రా యు ని 
ఉద్దండ్రాయునిపాలెం	1.0	ఉ ద్దండ్ రా యు ని పా లెం 
ఉద్దాదం	1.0	ఉ ద్దా దం 
ఉద్దానంలో	1.0	ఉ ద్దా నం లో 
ఉద్దేశ	1.0	ఉ ద్దే శ 
ఉద్దేశం	1.0	ఉ ద్దే శం 
ఉద్దేశంగా	1.0	ఉ ద్దే శం గా 
ఉద్దేశంతో	1.0	ఉ ద్దే శం తో 
ఉద్దేశంతోనే	1.0	ఉ ద్దే శం తో నే 
ఉద్దేశపూర్వకంగా	1.0	ఉ ద్దే శ పూర్ వ కం గా 
ఉద్దేశమని	1.0	ఉ ద్దే శ మ ని 
ఉద్దేశంలో	1.0	ఉ ద్దే శం లో 
ఉద్దేశాన్నీతెలిపారు	1.0	ఉ ద్దే శా న్నీ తె లి పా రు 
ఉద్దేశించి	1.0	ఉ ద్దే శిం చి 
ఉద్దేశించిన	1.0	ఉ ద్దే శిం చి న 
ఉద్దేశిస్తూ	1.0	ఉ ద్దే శిస్ తూ 
ఉద్దేశ్యం	1.0	ఉ ద్దేశ్ యం 
ఉద్దేశ్యంతో	1.0	ఉ ద్దేశ్ యం తో 
ఉద్దేశ్యపూర్వకంగా	1.0	ఉ ద్దేశ్ య పూర్ వ కం గా 
ఉద్దేశ్యమని	1.0	ఉ ద్దేశ్ య మ ని 
ఉద్దేశ్యమన్నారు	1.0	ఉ ద్దేశ్ య మ న్నా రు 
ఉద్దేశ్యంలో	1.0	ఉ ద్దేశ్ యం లో 
ఉద్దేశ్యాలు	1.0	ఉ ద్దేశ్ యా లు 
ఉద్ద్యేశం	1.0	ఉద్ద్ యే శం 
ఉద్ధానంలో	1.0	ఉద్ ధా నం లో 
ఉద్భోదించారు	1.0	ఉద్ భో దిం చా రు 
ఉద్యమ	1.0	ఉద్ య మ 
ఉద్యమం	1.0	ఉద్ య మం 
ఉద్యమకారులను	1.0	ఉద్ య మ కా రు ల ను 
ఉద్యమకారుల్లోనే	1.0	ఉద్ య మ కా రు ల్లో నే 
ఉద్యమమిస్తున్న	1.0	ఉద్ య మ మిస్ తు న్న 
ఉద్యమంలా	1.0	ఉద్ య మం లా 
ఉద్యమంలో	1.0	ఉద్ య మం లో 
ఉద్యమాకారులకు	1.0	ఉద్ య మా కా రు ల కు 
ఉద్యమానికి	1.0	ఉద్ య మా ని కి 
ఉద్యమాన్ని	1.0	ఉద్ య మా న్ని 
ఉద్యమాల	1.0	ఉద్ య మా ల 
ఉద్యమాలకు	1.0	ఉద్ య మా ల కు 
ఉద్యమాలను	1.0	ఉద్ య మా ల ను 
ఉద్యమాలనే	1.0	ఉద్ య మా ల నే 
ఉద్యమాలలోకి	1.0	ఉద్ య మా ల లో కి 
ఉద్యమాలు	1.0	ఉద్ య మా లు 
ఉద్యమించడం	1.0	ఉద్ య మిం చ డం 
ఉద్యమించారు	1.0	ఉద్ య మిం చా రు 
ఉద్యమించాలని	1.0	ఉద్ య మిం చా ల ని 
ఉద్యమించే	1.0	ఉద్ య మిం చే 
ఉద్యమిస్తానని	1.0	ఉద్ య మిస్ తా న ని 
ఉద్యమిస్తామని	1.0	ఉద్ య మిస్ తా మ ని 
ఉద్యమిస్తున్నా	1.0	ఉద్ య మిస్ తు న్నా 
ఉద్యాన	1.0	ఉద్ యా న 
ఉద్యానవనశాఖ	1.0	ఉద్ యా న వ న శా ఖ 
ఉద్యానవనాలు	1.0	ఉద్ యా న వ నా లు 
ఉద్యానవర్సిటీకి	1.0	ఉద్ యా న వర్ సి టీ కి 
ఉద్యాశం	1.0	ఉద్ యా శం 
ఉద్యోగ	1.0	ఉద్ యో గ 
ఉద్యోగం	1.0	ఉద్ యో గం 
ఉద్యోగలు	1.0	ఉద్ యో గ లు 
ఉద్యోగంలో	1.0	ఉద్ యో గం లో 
ఉద్యోగాల	1.0	ఉద్ యో గా ల 
ఉద్యోగాలకు	1.0	ఉద్ యో గా ల కు 
ఉద్యోగాలతో	1.0	ఉద్ యో గా ల తో 
ఉద్యోగాలను	1.0	ఉద్ యో గా ల ను 
ఉద్యోగాలివ్వాలన్నారు	1.0	ఉద్ యో గా లి వ్వా ల న్నా రు 
ఉద్యోగాలు	1.0	ఉద్ యో గా లు 
ఉద్యోగాలైతే	1.0	ఉద్ యో గా లై తే 
ఉద్యోగాల్లో	1.0	ఉద్ యో గా ల్లో 
ఉద్యోగావకాశాల	1.0	ఉద్ యో గా వ కా శా ల 
ఉద్యోగావకాశాలు	1.0	ఉద్ యో గా వ కా శా లు 
ఉద్యోగి	1.0	ఉద్ యో గి 
ఉద్యోగిని	1.0	ఉద్ యో గి ని 
ఉద్యోగుల	1.0	ఉద్ యో గు ల 
ఉద్యోగులకు	1.0	ఉద్ యో గు ల కు 
ఉద్యోగులంతా	1.0	ఉద్ యో గు లం తా 
ఉద్యోగులతో	1.0	ఉద్ యో గు ల తో 
ఉద్యోగులను	1.0	ఉద్ యో గు ల ను 
ఉద్యోగులు	1.0	ఉద్ యో గు లు 
ఉద్యోగుల్లో	1.0	ఉద్ యో గు ల్లో 
ఉద్రిక్త	1.0	ఉద్ రిక్ త 
ఉద్రిక్తంగా	1.0	ఉద్ రిక్ తం గా 
ఉద్రిక్తత	1.0	ఉద్ రిక్ త త 
ఉద్రిక్తతలు	1.0	ఉద్ రిక్ త త లు 
ఉద్వాసన	1.0	ఉద్ వా స న 
ఉద్వాసనను	1.0	ఉద్ వా స న ను 
ఉద్వేగంగా	1.0	ఉద్ వే గం గా 
ఉద్వేగపూరిత	1.0	ఉద్ వే గ పూ రి త 
ఉద్వేగానికి	1.0	ఉద్ వే గా ని కి 
ఉధృతం	1.0	ఉ ధృ తం 
ఉధృతి	1.0	ఉ ధృ తి 
ఉధ్దేశించి	1.0	ఉధ్ దే శిం చి 
ఉనికిని	1.0	ఉ ని కి ని 
ఉనికిలో	1.0	ఉ ని కి లో 
ఉన్	1.0	ఉన్ 
ఉన్న	1.0	ఉ న్న 
ఉన్నకాదని	1.0	ఉ న్న కా ద ని 
ఉన్నచోటే	1.0	ఉ న్న చో టే 
ఉన్నట్టు	1.0	ఉ న్న ట్టు 
ఉన్నట్టుండి	1.0	ఉ న్న ట్టుం డి 
ఉన్నట్టుందని	1.0	ఉ న్న ట్టుం ద ని 
ఉన్నట్లు	1.0	ఉ న్నట్ లు 
ఉన్నట్లుగా	1.0	ఉ న్నట్ లు గా 
ఉన్నత	1.0	ఉ న్న త 
ఉన్నంత	1.0	ఉ న్నం త 
ఉన్నంతగా	1.0	ఉ న్నం త గా 
ఉన్నతధికారుల	1.0	ఉ న్న త ధి కా రు ల 
ఉన్నతస్దాయి	1.0	ఉ న్న తస్ దా యి 
ఉన్నతా	1.0	ఉ న్న తా 
ఉన్నతాధికారి	1.0	ఉ న్న తా ధి కా రి 
ఉన్నతాధికారుల	1.0	ఉ న్న తా ధి కా రు ల 
ఉన్నతాధికారులకు	1.0	ఉ న్న తా ధి కా రు ల కు 
ఉన్నతాధికారులతో	1.0	ఉ న్న తా ధి కా రు ల తో 
ఉన్నతాధికారులను	1.0	ఉ న్న తా ధి కా రు ల ను 
ఉన్నతాధికారులు	1.0	ఉ న్న తా ధి కా రు లు 
ఉన్నతెలుగువారు	1.0	ఉ న్న తె లు గు వా రు 
ఉన్నతోద్యోగి	1.0	ఉ న్న తోద్ యో గి 
ఉన్నదంతా	1.0	ఉ న్న దం తా 
ఉన్నదని	1.0	ఉ న్న ద ని 
ఉన్నదాన్నే	1.0	ఉ న్న దా న్నే 
ఉన్నది	1.0	ఉ న్న ది 
ఉన్నందున	1.0	ఉ న్నం దు న 
ఉన్నందునే	1.0	ఉ న్నం దు నే 
ఉన్నదేనని	1.0	ఉ న్న దే న ని 
ఉన్నప్పటికి	1.0	ఉ న్న ప్ప టి కి 
ఉన్నప్పటికీ	1.0	ఉ న్న ప్ప టి కీ 
ఉన్నప్పడు	1.0	ఉ న్న ప్ప డు 
ఉన్నప్పుడు	1.0	ఉ న్న ప్పు డు 
ఉన్నప్పుడే	1.0	ఉ న్న ప్పు డే 
ఉన్నరంటూ	1.0	ఉ న్న రం టూ 
ఉన్నరాములు	1.0	ఉ న్న రా ము లు 
ఉన్నరు	1.0	ఉ న్న రు 
ఉన్నవాడు	1.0	ఉ న్న వా డు 
ఉన్నవారికి	1.0	ఉ న్న వా రి కి 
ఉన్నవారితో	1.0	ఉ న్న వా రి తో 
ఉన్నవారు	1.0	ఉ న్న వా రు 
ఉన్నవాళ్లకు	1.0	ఉ న్న వాళ్ ల కు 
ఉన్నవి	1.0	ఉ న్న వి 
ఉన్నవిగ్రహాలన్నింటిలోను	1.0	ఉ న్న విగ్ ర హా ల న్నిం టి లో ను 
ఉన్నా	1.0	ఉ న్నా 
ఉన్నాం	1.0	ఉ న్నాం 
ఉన్నాడని	1.0	ఉ న్నా డ ని 
ఉన్నాడు	1.0	ఉ న్నా డు 
ఉన్నాతాధికారి	1.0	ఉ న్నా తా ధి కా రి 
ఉన్నానని	1.0	ఉ న్నా న ని 
ఉన్నాననే	1.0	ఉ న్నా న నే 
ఉన్నానా	1.0	ఉ న్నా నా 
ఉన్నాని	1.0	ఉ న్నా ని 
ఉన్నానో	1.0	ఉ న్నా నో 
ఉన్నామంటూ	1.0	ఉ న్నా మం టూ 
ఉన్నామని	1.0	ఉ న్నా మ ని 
ఉన్నామన్నారు	1.0	ఉ న్నా మ న్నా రు 
ఉన్నాయంటున్నారు	1.0	ఉ న్నా యం టు న్నా రు 
ఉన్నాయని	1.0	ఉ న్నా య ని 
ఉన్నాయనీ	1.0	ఉ న్నా య నీ 
ఉన్నాయన్న	1.0	ఉ న్నా య న్న 
ఉన్నాయన్నారు	1.0	ఉ న్నా య న్నా రు 
ఉన్నాయి	1.0	ఉ న్నా యి 
ఉన్నాయో	1.0	ఉ న్నా యో 
ఉన్నారట	1.0	ఉ న్నా ర ట 
ఉన్నారంటున్నారు	1.0	ఉ న్నా రం టు న్నా రు 
ఉన్నారని	1.0	ఉ న్నా ర ని 
ఉన్నారనుకుంటే	1.0	ఉ న్నా ర ను కుం టే 
ఉన్నారనే	1.0	ఉ న్నా ర నే 
ఉన్నారన్నారు	1.0	ఉ న్నా ర న్నా రు 
ఉన్నారా	1.0	ఉ న్నా రా 
ఉన్నారు	1.0	ఉ న్నా రు 
ఉన్మాది	1.0	ఉన్ మా ది 
ఉప	1.0	ఉ ప 
ఉపఎన్నిక	1.0	ఉ ప ఎ న్ని క 
ఉపకరిస్తుందనే	1.0	ఉ ప క రిస్ తుం ద నే 
ఉపకారవేతనాలు	1.0	ఉ ప కా ర వే త నా లు 
ఉపక్రమించింది	1.0	ఉ పక్ ర మిం చిం ది 
ఉపక్రమించే	1.0	ఉ పక్ ర మిం చే 
ఉపగ్రహాన్ని	1.0	ఉ పగ్ ర హా న్ని 
ఉపగ్రహాలను	1.0	ఉ పగ్ ర హా ల ను 
ఉపగ్రహాలు	1.0	ఉ పగ్ ర హా లు 
ఉపదేశాలు	1.0	ఉ ప దే శా లు 
ఉపధ్యా	1.0	ఉ పధ్ యా 
ఉపనియ	1.0	ఉ ప ని య 
ఉపన్యాసాన్ని	1.0	ఉ పన్ యా సా న్ని 
ఉపన్యాసాలు	1.0	ఉ పన్ యా సా లు 
ఉపముఖ్యమంత్రి	1.0	ఉ ప ముఖ్ య మంత్ రి 
ఉపముఖ్యమంత్రులతో	1.0	ఉ ప ముఖ్ య మంత్ రు ల తో 
ఉపయించే	1.0	ఉ ప యిం చే 
ఉపయుక్తంగా	1.0	ఉ ప యుక్ తం గా 
ఉపయోగం	1.0	ఉ ప యో గం 
ఉపయోగంగా	1.0	ఉ ప యో గం గా 
ఉపయోగపడటంలేదు	1.0	ఉ ప యో గ ప డ టం లే దు 
ఉపయోగపడతాడో	1.0	ఉ ప యో గ ప డ తా డో 
ఉపయోగపడతారని	1.0	ఉ ప యో గ ప డ తా ర ని 
ఉపయోగపడని	1.0	ఉ ప యో గ ప డ ని 
ఉపయోగపడుతాయని	1.0	ఉ ప యో గ ప డు తా య ని 
ఉపయోగపడుతుందని	1.0	ఉ ప యో గ ప డు తుం ద ని 
ఉపయోగపడుతుందనేది	1.0	ఉ ప యో గ ప డు తుం ద నే ది 
ఉపయోగపడుతుందన్నారు	1.0	ఉ ప యో గ ప డు తుం ద న్నా రు 
ఉపయోగపడుతోందన్నారు	1.0	ఉ ప యో గ ప డు తోం ద న్నా రు 
ఉపయోగపడుతోంది	1.0	ఉ ప యో గ ప డు తోం ది 
ఉపయోగపడే	1.0	ఉ ప యో గ ప డే 
ఉపయోగపడేలా	1.0	ఉ ప యో గ ప డే లా 
ఉపయోగబడుతురదని	1.0	ఉ ప యో గ బ డు తు ర ద ని 
ఉపయోగాన్ని	1.0	ఉ ప యో గా న్ని 
ఉపయోగించకూడదని	1.0	ఉ ప యో గిం చ కూ డ ద ని 
ఉపయోగించడం	1.0	ఉ ప యో గిం చ డం 
ఉపయోగించారు	1.0	ఉ ప యో గిం చా రు 
ఉపయోగించాలని	1.0	ఉ ప యో గిం చా ల ని 
ఉపయోగించాలన్నది	1.0	ఉ ప యో గిం చా ల న్న ది 
ఉపయోగించి	1.0	ఉ ప యో గిం చి 
ఉపయోగించిన	1.0	ఉ ప యో గిం చి న 
ఉపయోగించినా	1.0	ఉ ప యో గిం చి నా 
ఉపయోగించుకుంటామని	1.0	ఉ ప యో గిం చు కుం టా మ ని 
ఉపయోగించుకుంటున్నారని	1.0	ఉ ప యో గిం చు కుం టు న్నా ర ని 
ఉపయోగించుకుంటున్నారు	1.0	ఉ ప యో గిం చు కుం టు న్నా రు 
ఉపయోగించుకుంటూ	1.0	ఉ ప యో గిం చు కుం టూ 
ఉపయోగించుకుని	1.0	ఉ ప యో గిం చు కు ని 
ఉపయోగించుకునేందుకు	1.0	ఉ ప యో గిం చు కు నేం దు కు 
ఉపయోగించుకునేలా	1.0	ఉ ప యో గిం చు కు నే లా 
ఉపయోగించుకున్నట్లు	1.0	ఉ ప యో గిం చు కు న్నట్ లు 
ఉపయోగించుకున్నారన్నారు	1.0	ఉ ప యో గిం చు కు న్నా ర న్నా రు 
ఉపయోగించుకున్నారు	1.0	ఉ ప యో గిం చు కు న్నా రు 
ఉపయోగించుకొని	1.0	ఉ ప యో గిం చు కొ ని 
ఉపయోగించే	1.0	ఉ ప యో గిం చే 
ఉపయోగిస్తామన్నారు	1.0	ఉ ప యో గిస్ తా మ న్నా రు 
ఉపయోగిస్తున్నాడు	1.0	ఉ ప యో గిస్ తు న్నా డు 
ఉపయోగిస్తున్నారు	1.0	ఉ ప యో గిస్ తు న్నా రు 
ఉపయోగిస్తూ	1.0	ఉ ప యో గిస్ తూ 
ఉపయోగిస్తే	1.0	ఉ ప యో గిస్ తే 
ఉపరించారు	1.0	ఉ ప రిం చా రు 
ఉపరితల	1.0	ఉ ప రి త ల 
ఉపవాస	1.0	ఉ ప వా స 
ఉపశమనం	1.0	ఉ ప శ మ నం 
ఉపసంఘ	1.0	ఉ ప సం ఘ 
ఉపసంఘనం	1.0	ఉ ప సం ఘ నం 
ఉపసన	1.0	ఉ ప స న 
ఉపసభాపతి	1.0	ఉ ప స భా ప తి 
ఉపసంహరణతో	1.0	ఉ ప సం హ ర ణ తో 
ఉపసంహరించుకుంటాననే	1.0	ఉ ప సం హ రిం చు కుం టా న నే 
ఉపసంహరించుకుంటున్నట్లుగా	1.0	ఉ ప సం హ రిం చు కుం టు న్నట్ లు గా 
ఉపసంహరించుకున్నట్టు	1.0	ఉ ప సం హ రిం చు కు న్న ట్టు 
ఉపసంహరించుకోవాలని	1.0	ఉ ప సం హ రిం చు కో వా ల ని 
ఉపా	1.0	ఉ పా 
ఉపాది	1.0	ఉ పా ది 
ఉపాధి	1.0	ఉ పా ధి 
ఉపాధికి	1.0	ఉ పా ధి కి 
ఉపాధికూలీలు	1.0	ఉ పా ధి కూ లీ లు 
ఉపాధిని	1.0	ఉ పా ధి ని 
ఉపాధిహామీ	1.0	ఉ పా ధి హా మీ 
ఉపాధ్యక్షలు	1.0	ఉ పాధ్ యక్ ష లు 
ఉపాధ్యక్షుడు	1.0	ఉ పాధ్ యక్ షు డు 
ఉపాధ్యక్షులు	1.0	ఉ పాధ్ యక్ షు లు 
ఉపాధ్యా	1.0	ఉ పాధ్ యా 
ఉపాధ్యాయ	1.0	ఉ పాధ్ యా య 
ఉపాధ్యాయుల	1.0	ఉ పాధ్ యా యు ల 
ఉపాధ్యాయులకు	1.0	ఉ పాధ్ యా యు ల కు 
ఉపాధ్యాయులతో	1.0	ఉ పాధ్ యా యు ల తో 
ఉపాధ్యాయులను	1.0	ఉ పాధ్ యా యు ల ను 
ఉపాధ్యాయులు	1.0	ఉ పాధ్ యా యు లు 
ఉపాధ్యాయులుగా	1.0	ఉ పాధ్ యా యు లు గా 
ఉపాయమే	1.0	ఉ పా య మే 
ఉపేక్షించబోనని	1.0	ఉ పేక్ షిం చ బో న ని 
ఉపేక్షించరానివని	1.0	ఉ పేక్ షిం చ రా ని వ ని 
ఉపేక్షించేది	1.0	ఉ పేక్ షిం చే ది 
ఉపేక్షిస్తున్నారని	1.0	ఉ పేక్ షిస్ తు న్నా ర ని 
ఉపేంద్ర	1.0	ఉ పేంద్ ర 
ఉపేంద్రమ్మ	1.0	ఉ పేంద్ ర మ్మ 
ఉప్పలగుప్త	1.0	ఉ ప్ప ల గుప్ త 
ఉప్పలగుప్తం	1.0	ఉ ప్ప ల గుప్ తం 
ఉప్పల్	1.0	ఉ ప్పల్ 
ఉప్పాడ	1.0	ఉ ప్పా డ 
ఉప్పు	1.0	ఉ ప్పు 
ఉప్పుగుండూరు	1.0	ఉ ప్పు గుం డూ రు 
ఉప్పుచల్లాడు	1.0	ఉ ప్పు చ ల్లా డు 
ఉప్పుజల్లాడు	1.0	ఉ ప్పు జ ల్లా డు 
ఉప్పుటేరు	1.0	ఉ ప్పు టే రు 
ఉప్పులేటి	1.0	ఉ ప్పు లే టి 
ఉప్పొంగిపోయారు	1.0	ఉ ప్పొం గి పో యా రు 
ఉభయ	1.0	ఉ భ య 
ఉభయగోదావరి	1.0	ఉ భ య గో దా వ రి 
ఉమరి	1.0	ఉ మ రి 
ఉమా	1.0	ఉ మా 
ఉమాభారతి	1.0	ఉ మా భా ర తి 
ఉమామహేశ్వర	1.0	ఉ మా మ హేశ్ వ ర 
ఉమామహేశ్వరరావు	1.0	ఉ మా మ హేశ్ వ ర రా వు 
ఉమామాధవ	1.0	ఉ మా మా ధ వ 
ఉమెన్	1.0	ఉ మెన్ 
ఉమ్	1.0	ఉమ్ 
ఉమ్మడి	1.0	ఉ మ్మ డి 
ఉమ్మడిగా	1.0	ఉ మ్మ డి గా 
ఉమ్మారెడ్డి	1.0	ఉ మ్మా రె డ్డి 
ఉయ్యందుకు	1.0	ఉ య్యం దు కు 
ఉరటరదని	1.0	ఉ ర ట ర ద ని 
ఉరటురదని	1.0	ఉ ర టు ర ద ని 
ఉరటురది	1.0	ఉ ర టు ర ది 
ఉరడగా	1.0	ఉ ర డ గా 
ఉరడవని	1.0	ఉ ర డ వ ని 
ఉరవకొండలో	1.0	ఉ ర వ కొం డ లో 
ఉరవిడిగా	1.0	ఉ ర వి డి గా 
ఉరి	1.0	ఉ రి 
ఉరితాడు	1.0	ఉ రి తా డు 
ఉరితీయాలని	1.0	ఉ రి తీ యా ల ని 
ఉరితీసి	1.0	ఉ రి తీ సి 
ఉరిపెట్టి	1.0	ఉ రి పె ట్టి 
ఉరివేసుకుని	1.0	ఉ రి వే సు కు ని 
ఉరివేసుకొని	1.0	ఉ రి వే సు కొ ని 
ఉరిశిక్ష	1.0	ఉ రి శిక్ ష 
ఉరుకుంద	1.0	ఉ రు కుం ద 
ఉరుకులు	1.0	ఉ రు కు లు 
ఉరుములతో	1.0	ఉ రు ము ల తో 
ఉరుములు	1.0	ఉ రు ము లు 
ఉరేసి	1.0	ఉ రే సి 
ఉరేసుకుందని	1.0	ఉ రే సు కుం ద ని 
ఉరేసుకుంది	1.0	ఉ రే సు కుం ది 
ఉరేసుకుని	1.0	ఉ రే సు కు ని 
ఉరేసుకొని	1.0	ఉ రే సు కొ ని 
ఉర్దూలో	1.0	ఉర్ దూ లో 
ఉర్రూతలూగించింది	1.0	ఉ ర్రూ త లూ గిం చిం ది 
ఉర్రోదంటూ	1.0	ఉ ర్రో దం టూ 
ఉలవపాడు	1.0	ఉ ల వ పా డు 
ఉలిక్కి	1.0	ఉ లి క్కి 
ఉలిక్కిపడుతున్నారో	1.0	ఉ లి క్కి ప డు తు న్నా రో 
ఉలిక్కిపడ్డారు	1.0	ఉ లి క్కి ప డ్డా రు 
ఉలేమాకు	1.0	ఉ లే మా కు 
ఉల్	1.0	ఉల్ 
ఉల్లంగిస్తూ	1.0	ఉ ల్లం గిస్ తూ 
ఉల్లంఘన	1.0	ఉ ల్లం ఘ న 
ఉల్లంఘించడంతో	1.0	ఉ ల్లం ఘిం చ డం తో 
ఉల్లంఘించారని	1.0	ఉ ల్లం ఘిం చా ర ని 
ఉల్లంఘించి	1.0	ఉ ల్లం ఘిం చి 
ఉల్లంఘిస్తున్నారని	1.0	ఉ ల్లం ఘిస్ తు న్నా ర ని 
ఉల్లాసంగా	1.0	ఉ ల్లా సం గా 
ఉల్లాసాలు	1.0	ఉ ల్లా సా లు 
ఉల్లి	1.0	ఉ ల్లి 
ఉల్లికి	1.0	ఉ ల్లి కి 
ఉల్లిపాయల	1.0	ఉ ల్లి పా య ల 
ఉల్లిపాయలను	1.0	ఉ ల్లి పా య ల ను 
ఉల్లిపాయలు	1.0	ఉ ల్లి పా య లు 
ఉవ్వెత్తున	1.0	ఉ వ్వె త్తు న 
ఉషా	1.0	ఉ షా 
ఉషాగోకాని	1.0	ఉ షా గో కా ని 
ఉషానాథ్	1.0	ఉ షా నాథ్ 
ఉషాపతినే	1.0	ఉ షా ప తి నే 
ఉష్ణో	1.0	ఉష్ ణో 
ఉష్ణోగ్రతల	1.0	ఉష్ ణోగ్ ర త ల 
ఉష్ణోగ్రతలు	1.0	ఉష్ ణోగ్ ర త లు 
ఉష్ణోగ్రతల్లో	1.0	ఉష్ ణోగ్ ర త ల్లో 
ఉసురు	1.0	ఉ సు రు 
ఉసురుమనే	1.0	ఉ సు రు మ నే 
ఉసూరుమనిపించారని	1.0	ఉ సూ రు మ ని పిం చా ర ని 
ఉస్తేపల్లి	1.0	ఉస్ తే ప ల్లి 
ఉస్మానియా	1.0	ఉస్ మా ని యా 
ఊచకోత	1.0	ఊ చ కో త 
ఊడిపోతుందని	1.0	ఊ డి పో తుం ద ని 
ఊడిపోతోందని	1.0	ఊ డి పో తోం ద ని 
ఊడిపోయిందని	1.0	ఊ డి పో యిం ద ని 
ఊడిపోవడం	1.0	ఊ డి పో వ డం 
ఊడ్చారు	1.0	ఊడ్ చా రు 
ఊతం	1.0	ఊ తం 
ఊతపదాలు	1.0	ఊ త ప దా లు 
ఊపందుకుంటాయని	1.0	ఊ పం దు కుం టా య ని 
ఊపందుకున్నాయనీ	1.0	ఊ పం దు కు న్నా య నీ 
ఊపందుకున్నాయి	1.0	ఊ పం దు కు న్నా యి 
ఊపందుకోలేదని	1.0	ఊ పం దు కో లే ద ని 
ఊపరపల్లి	1.0	ఊ ప ర ప ల్లి 
ఊపరి	1.0	ఊ ప రి 
ఊపి	1.0	ఊ పి 
ఊపిన	1.0	ఊ పి న 
ఊపిరాడకుండా	1.0	ఊ పి రా డ కుం డా 
ఊపిరాడనివ్వడం	1.0	ఊ పి రా డ ని వ్వ డం 
ఊపిరి	1.0	ఊ పి రి 
ఊపిరితిత్తుల	1.0	ఊ పి రి తి త్తు ల 
ఊపిరితిత్తులకు	1.0	ఊ పి రి తి త్తు ల కు 
ఊపిరితిత్తులు	1.0	ఊ పి రి తి త్తు లు 
ఊపిరిపీల్చుకున్న	1.0	ఊ పి రి పీల్ చు కు న్న 
ఊపిరిపీల్చుకున్నారు	1.0	ఊ పి రి పీల్ చు కు న్నా రు 
ఊపు	1.0	ఊ పు 
ఊప్పు	1.0	ఊ ప్పు 
ఊబిలో	1.0	ఊ బి లో 
ఊబిలోకి	1.0	ఊ బి లో కి 
